Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,"
	2017 NFC east division Champions Philadelphia Eagles shirt","<div>
		HOW TO ORDER :<br>
		1. Select the style and color you want<br>
		2. Click “Add to Cart”<br>
		3. Select size and quantity<br>
		4. Enter shipping and billing information<br>
		5. Done! Simple as that!</p>
		<p>TIP: SHARE it with your friends, buy 2 shirts or more and you will save on shipping</p>
		<p>This a quality 100% cotton t-shirt with a screen printed design. Machine wash cold with like colors, dry low heat Perfect to wear at home or out on the town. Lightweight, Classic fit, Double-needle sleeve and bottom hem. Perfect For Gifts, Or To Purchase For Yourself.</p>
		</div>",Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Black,Size,S,,,,,,1,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,https://t-shirtat.com/shop/2017-nfc-east-division-champions-philadelphia-eagles-shirt/,2018-08-31
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Black,Size,M,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Black,Size,L,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Black,Size,XL,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Black,Size,XXL ,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Black,Size,XXXL ,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552820091-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Darkgrey,Size,S,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Darkgrey,Size,M,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Darkgrey,Size,L,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Darkgrey,Size,XL,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Darkgrey,Size,XXL ,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,Darkgrey,Size,XXXL ,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552825313-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,NavyBlue,Size,S,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,NavyBlue,Size,M,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,NavyBlue,Size,L,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,NavyBlue,Size,XL,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,
2017-NFC-east-division-Champions-Philadelphia-Eagles-shirt-Classic Guys / Unisex Tee  ,,,Zenladen,Classic Guys / Unisex Tee  ,Classic Guys / Unisex Tee  ,TRUE,Color,NavyBlue,Size,XXL ,,,,,,,deny,manual,17.95,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0046/5784/0243/files/93737-1516552821740-front.jpg,,,,
